station_name,pump_name,timestamp,status,suction_pressure,case_pressure,discharge_pressure,pressure_throttle,specific_gravity,speed,efficiency,flow,head,pressure_difference,por,aor,lor,head_degradation,baseline_head,energy_wasted,money_wasted,flow_ratio_bep,reliability,rate_of_life_time,consumed_lifetime,estimated_remaining_life,shaft_power
Station1,Pump1,2019-04-01T06:20:00.000Z,Open,543533.7536,4770582.754,,,0.91564155,,81.850464,0.500919253,474.4570735,4227049,0,1,0,6.086874027,480.5439476,0.14737648,,0.7393769,0.70763576,1.4131564,0.117763035,99.42731,2609880.2
Station1,Pump1,2019-04-01T06:25:00.000Z,Open,550428.5036,4751306.004,,,0.91577303,,84.73308,0.496302575,471.4762691,4200877.5,0,1,0,9.51500227,480.9912714,0.07226578,,0.73262244,0.6924261,1.4441974,0.12034979,99.42129,2482594.5
Station1,Pump1,2019-04-01T06:30:00.000Z,Open,543533.7536,4806795.754,,,0.9152255,,84.29693,0.500145405,478.7043575,4263262,0,1,0,1.915042419,480.6193999,0.08484816,,0.7382447,0.70509404,1.4182506,0.11818755,99.415375,2551932.2
Station1,Pump1,2019-04-01T06:35:00.000Z,Open,543533.7536,4777898.754,,,0.9158826,,82.40959,0.502623826,475.1474727,4234365,0,1,0,5.229589958,480.3770627,0.13329802,,0.7418708,0.71322256,1.4020869,0.11684058,99.40954,2605417.8
Station1,Pump1,2019-04-01T06:40:00.000Z,Open,543533.7536,4794647.754,,,0.9156196,,82.65877,0.500721186,477.1475337,4251114,0,1,0,3.415750999,480.5632847,0.1267768,,0.73908716,0.70698553,1.4144561,0.117871344,99.40364,2598053
Station1,Pump1,2019-04-01T06:45:00.000Z,Open,543533.7536,4789716.254,,,0.91577303,,81.10149,0.498806328,476.5192989,4246182.5,0,1,0,4.230214615,480.7495135,0.16751656,,0.73628557,0.7006882,1.4271684,0.1189307,99.3977,2634842.8
Station1,Pump1,2019-04-01T06:50:00.000Z,Open,550428.5036,4797124.004,,,0.916036,,82.2593,0.494103014,476.4406551,4246695.5,0,1,0,4.761344929,481.202,0.13535109,,0.7294044,0.6851442,1.4595468,0.121628895,99.39162,2573789
Station1,Pump1,2019-04-01T06:55:00.000Z,Open,550428.5036,4802550.504,,,0.91577303,,83.28752,0.49650988,477.1804012,4252122,0,1,0,3.790918369,480.9713195,0.10953787,,0.7329258,0.6931113,1.4427696,0.12023081,99.385605,2557551
Station1,Pump1,2019-04-01T07:00:00.000Z,Open,550428.5036,4793171.004,,,0.91548824,,83.34049,0.494756818,476.2832759,4242742.5,0,1,0,4.856261272,481.1395372,0.10756682,,0.7303609,0.6873109,1.4549457,0.12124548,99.37954,2541362.8
Station1,Pump1,2019-04-01T07:05:00.000Z,Open,543533.7536,4769721.754,,,0.9153568,,83.80764,0.497508258,474.5075801,4226188,0,1,0,6.367528934,480.8751091,0.09591413,,0.73438644,0.6964085,1.4359388,0.11966157,99.37356,2531211
